Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,5973.000000,2408772.000000,1838115.000000,0.000000,403.276745,307.737317,0.000000,0.000000,1741740.851832,7311765.539927,-1893973.786539,0.000000,0.000000,0.000000,16.071639,67.468165,-17.476345,0.000000,0.000000,83.539805,778.901409,0.000000,83.539805,27.908805,-0.000000,71.569945,27.419319,0.000000,308,403,0,262,336,0,343,468,0,336,309,0,439,84.750485,138.111901,0.298608,68.150175,    69.421683,     8.331967,   119.000000,    51.000000,    67.000000,407061.000000,5973,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,351,320,336,325,337,330,339,337,345,343,347,297,468,280,460,266,456,-99,-99
1,2236.000000,896360.000000,567250.000000,0.000000,400.876565,253.689624,0.000000,0.000000,372016.599284,763571.932021,306073.336314,0.000000,0.000000,0.000000,12.723304,26.114851,10.467985,0.000000,0.000000,38.838155,222.688490,0.000000,38.838155,14.922750,-0.000000,39.882179,18.688817,0.000000,254,401,0,227,361,0,278,443,0,361,242,0,264,58.141789,93.482877,-0.500868,75.028175,   126.797863,    11.260455,   125.000000,    51.000000,    75.000000,167763.000000,2236,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,155,273,428,259,443,229,380,242,363,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,5762.000000,2637756.000000,2103691.000000,0.000000,457.784796,365.097362,0.000000,0.000000,2050694.379902,4769569.148211,938884.728913,0.000000,0.000000,0.000000,19.851954,46.172296,9.088968,0.000000,0.000000,66.024251,834.000978,0.000000,66.024251,28.879075,-0.000000,57.508246,33.889519,0.000000,365,458,0,316,408,0,403,518,0,408,348,0,432,91.129880,115.221688,-0.302208,75.607948,   150.476541,    12.266888,   138.000000,    53.000000,    74.000000,435653.000000,5762,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1469310.000000,5762,7,9,2,174,378,408,388,411,397,421,398,517,363,510,316,464,349,408,-99,-99,-99,-99
3,1107.000000,542910.000000,367266.000000,0.000000,490.433604,331.766937,0.000000,0.000000,182335.869918,149143.869918,125477.869918,0.000000,0.000000,0.000000,15.922403,13.023925,10.957302,0.000000,0.000000,28.946329,87.309725,0.000000,28.946329,9.343967,-0.000000,11.623888,31.754189,0.000000,332,490,0,301,465,0,355,511,0,465,309,0,200,61.167171,71.804940,0.719648,68.148148,    43.639876,     6.606048,    91.000000,    54.000000,    67.000000, 75440.000000,1107,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,123,355,509,348,510,302,470,309,465,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,3169.000000,1617773.000000,1706764.000000,0.000000,510.499526,538.581255,0.000000,0.000000,585447.326601,1301494.249289,137598.871883,0.000000,0.000000,0.000000,12.577418,27.960564,2.956096,0.000000,0.000000,40.537982,342.933213,0.000000,40.537982,18.518456,-0.000000,40.159832,26.086373,0.000000,539,510,0,507,473,0,566,558,0,473,531,0,304,60.007041,86.450821,-0.183462,76.372041,   126.814508,    11.261194,   135.000000,    52.000000,    75.000000,242023.000000,3169,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,168,540,474,544,475,561,542,543,557,507,495,531,473,538,478,-99,-99,-99,-99
5,11.000000,5338.000000,5162.000000,0.000000,485.272727,469.272727,0.000000,0.000000,16.181818,6.181818,-1.818181,0.000000,0.000000,0.000000,0.661460,0.252692,-0.074321,0.000000,0.000000,0.914152,0.161622,0.000000,0.914152,0.402022,-0.000000,1.452239,2.436710,0.000000,469,485,0,467,484,0,471,486,0,484,469,0,11,2.030800,4.061600,-0.174385,81.363636,    18.654545,     4.319090,    87.000000,    74.000000,    83.000000,   895.000000,11,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,3164.000000,1676587.000000,1371112.000000,0.000000,529.894753,433.347661,0.000000,0.000000,772939.572692,1425171.952907,340540.771175,0.000000,0.000000,0.000000,16.640392,30.682115,7.331403,0.000000,0.000000,47.322508,456.812973,0.000000,47.322508,21.373183,-0.000000,42.173779,26.658648,0.000000,433,530,0,402,494,0,465,580,0,494,447,0,364,68.501632,93.510164,-0.403515,72.645701,    96.113130,     9.803730,   112.000000,    53.000000,    71.000000,229851.000000,3164,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,320,448,494,462,576,458,580,406,504,408,497,-99,-99,-99,-99,-99,-99,-99,-99
7,1816.000000,949374.000000,562330.000000,0.000000,522.783039,309.653083,0.000000,0.000000,230811.442731,326410.517621,55625.314977,0.000000,0.000000,0.000000,10.417644,14.732496,2.510641,0.000000,0.000000,25.150141,147.174596,0.000000,25.150141,12.131553,-0.000000,27.676965,21.136773,0.000000,310,523,0,286,495,0,333,553,0,495,314,0,219,51.718041,63.822264,-0.430460,79.172907,    92.609204,     9.623367,   117.000000,    57.000000,    79.000000,143778.000000,1816,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,3,108,314,496,331,534,315,550,286,509,297,500,-99,-99,-99,-99,-99,-99,-99,-99
8,1725.000000,909135.000000,1013131.000000,0.000000,527.034782,587.322318,0.000000,0.000000,322748.790724,206735.913043,84682.660869,0.000000,0.000000,0.000000,15.600762,9.993028,4.093319,0.000000,0.000000,25.593790,139.143595,0.000000,25.593790,11.795914,-0.000000,19.242146,28.968549,0.000000,587,527,0,563,504,0,615,549,0,504,570,0,193,50.869063,58.782029,0.485109,72.096811,    93.709299,     9.680356,    96.000000,    51.000000,    72.000000,124367.000000,1725,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,439875.000000,1725,8,9,2,161,614,534,610,544,610,548,566,541,564,510,566,509,567,507,569,505,-99,-99
9,2071.000000,1130295.000000,1056938.000000,0.000000,545.772573,510.351521,0.000000,0.000000,354902.092708,560433.882182,267747.566393,0.000000,0.000000,0.000000,13.444204,21.230045,10.142664,0.000000,0.000000,34.674249,182.547412,0.000000,34.674249,13.511010,-0.000000,37.504454,17.968129,0.000000,510,546,0,480,512,0,540,575,0,512,504,0,246,72.805424,76.445695,-0.602159,77.491067,   118.032649,    10.864283,   111.000000,    56.000000,    78.000000,160484.000000,2071,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,156,537,574,480,522,504,514,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
